"year","Model","Temperature","RCP"
2061,"CAN_ESM2",20.61542510986,8.5
2062,"CAN_ESM2",21.06941795349,8.5
2063,"CAN_ESM2",20.47279930115,8.5
2064,"CAN_ESM2",20.72703170776,8.5
2065,"CAN_ESM2",21.62524223328,8.5
2066,"CAN_ESM2",21.95892333984,8.5
2067,"CAN_ESM2",21.44217300415,8.5
2068,"CAN_ESM2",21.18792724609,8.5
2069,"CAN_ESM2",21.43563270569,8.5
2070,"CAN_ESM2",21.54218482971,8.5
2071,"CAN_ESM2",21.85701751709,8.5
2072,"CAN_ESM2",21.62941169739,8.5
2073,"CAN_ESM2",21.5905418396,8.5
2074,"CAN_ESM2",21.83342933655,8.5
2075,"CAN_ESM2",22.11912155151,8.5
2076,"CAN_ESM2",21.9716758728,8.5
2077,"CAN_ESM2",22.12255096436,8.5
2078,"CAN_ESM2",22.46127510071,8.5
2079,"CAN_ESM2",21.67475891113,8.5
2080,"CAN_ESM2",21.64255332947,8.5
2081,"CAN_ESM2",21.97243881226,8.5
