"","Time","Year","Month","Day","Season","ClimScenario","Lat_COG_10thPercentile","Lat_COG_Mean","Lat_COG_90thPercentile"
"288",2080-10-16,"2080","10","16","Fall","SSP5_85",4689.74247984763,4767.09270497354,4849.61781646126
"289",2081-03-16,"2081","03","16","Spring","SSP5_85",4590.34431035536,4691.60088346019,4774.75383705956
"290",2081-07-16,"2081","07","16","Summer","SSP5_85",4704.05528623404,4780.90864276777,4851.29104331913
"291",2081-10-16,"2081","10","16","Fall","SSP5_85",4691.78341888361,4768.15104589913,4850.86405840917
"292",2082-03-16,"2082","03","16","Spring","SSP5_85",4593.53093126886,4691.81117996474,4774.27849481326
"293",2082-07-16,"2082","07","16","Summer","SSP5_85",4706.76002548053,4781.48866301584,4855.11711112876
"294",2082-10-16,"2082","10","16","Fall","SSP5_85",4694.09039751631,4770.20379463647,4848.5820352225
"295",2083-03-16,"2083","03","16","Spring","SSP5_85",4595.45770497342,4691.41511998792,4779.92536262395
"296",2083-07-16,"2083","07","16","Summer","SSP5_85",4708.85986727831,4780.87823791973,4853.35168146011
"297",2083-10-16,"2083","10","16","Fall","SSP5_85",4695.59008983329,4769.6817673461,4848.75716861124
"298",2084-03-16,"2084","03","16","Spring","SSP5_85",4595.86927974122,4690.99438282115,4782.12177092848
"299",2084-07-16,"2084","07","16","Summer","SSP5_85",4706.48282618039,4781.14565661591,4853.25720436264
"300",2084-10-16,"2084","10","16","Fall","SSP5_85",4697.16578837661,4768.07895838343,4847.13958838922
"301",2085-03-16,"2085","03","16","Spring","SSP5_85",4592.11877843613,4689.82209796117,4786.7243010458
"302",2085-07-16,"2085","07","16","Summer","SSP5_85",4704.86683207875,4779.91017183295,4854.29153383763
"303",2085-10-16,"2085","10","16","Fall","SSP5_85",4696.77385436781,4767.33144282225,4845.70563790488
"304",2086-03-16,"2086","03","16","Spring","SSP5_85",4589.8740514177,4690.90164979654,4787.28363671194
"305",2086-07-16,"2086","07","16","Summer","SSP5_85",4705.85581233372,4781.7500344244,4856.74991190289
"306",2086-10-16,"2086","10","16","Fall","SSP5_85",4699.32675550081,4768.79729407697,4849.74061138132
"307",2087-03-16,"2087","03","16","Spring","SSP5_85",4590.01720883756,4691.91067083684,4786.92293377389
"308",2087-07-16,"2087","07","16","Summer","SSP5_85",4704.14067004203,4782.61124597913,4856.15904623475
"309",2087-10-16,"2087","10","16","Fall","SSP5_85",4697.54240785594,4769.84798221592,4845.09801758179
"310",2088-03-16,"2088","03","16","Spring","SSP5_85",4595.53428676743,4691.51566582559,4790.07615017448
"311",2088-07-16,"2088","07","16","Summer","SSP5_85",4702.74746378547,4782.7645230142,4859.33829836399
"312",2088-10-16,"2088","10","16","Fall","SSP5_85",4698.83097468736,4770.01965952614,4844.99197904935
"313",2089-03-16,"2089","03","16","Spring","SSP5_85",4594.0074548251,4693.68511546964,4794.65723800282
"314",2089-07-16,"2089","07","16","Summer","SSP5_85",4699.94414691346,4781.74882264217,4858.26633785743
"315",2089-10-16,"2089","10","16","Fall","SSP5_85",4697.99955639947,4769.00534225027,4844.71988660986
"316",2090-03-16,"2090","03","16","Spring","SSP5_85",4590.3715305766,4692.91867435337,4788.56217884834
