gffishingyear,q_fy,stockcode,stock_string,spstock2,live_price_nom,live_price_R
2013,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.1797476,1.135353
2013,4,2,GBE Cod,codGB,1.760461,1.6942137
2013,4,3,GBW Cod,codGB,1.6112844,1.5506507
2013,4,4,GBE Haddock,haddockGB,1.077114,1.0365815
2013,4,5,GBW Haddock,haddockGB,1.1144298,1.0724931
2013,4,6,GB Winter Flounder,winterflounderGB,2.8798003,2.7714317
2013,4,7,GB Yellowtail Flounder,yellowtailflounderGB,2.0119812,1.936269
2013,4,8,GOM Cod,codGOM,2.0727253,1.9947274
2013,4,9,GOM Haddock,haddockGOM,1.6968683,1.6330141
2013,4,10,GOM Winter Flounder,winterflounderGOM,2.0050099,1.9295601
2013,4,11,Plaice,americanplaiceflounder,2.026794,1.9505244
2013,4,12,Pollock,pollock,.92436421,.88957977
2013,4,13,Redfish,redfish,.56160891,.54047519
2013,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.7270113,1.6620228
2013,4,15,White Hake,whitehake,1.3658563,1.3144583
2013,4,16,Witch Flounder,witchflounder,2.0154696,1.9396261
2013,4,17,SNEMA Winter Flounder,,2.5082138,2.4138281
2014,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.1229897,1.0688137
2014,1,2,GBE Cod,codGB,1.4695311,1.3986371
2014,1,3,GBW Cod,codGB,1.5093044,1.4364916
2014,1,4,GBE Haddock,haddockGB,1.0072156,.9586249
2014,1,5,GBW Haddock,haddockGB,1.0396606,.98950464
2014,1,6,GB Winter Flounder,winterflounderGB,1.8965794,1.8050835
2014,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.5452297,1.4706838
2014,1,8,GOM Cod,codGOM,2.241991,2.1338315
2014,1,9,GOM Haddock,haddockGOM,1.8345578,1.7460539
2014,1,10,GOM Winter Flounder,winterflounderGOM,1.7550739,1.6704046
2014,1,11,Plaice,americanplaiceflounder,1.5072749,1.4345601
2014,1,12,Pollock,pollock,1.0713836,1.0196973
2014,1,13,Redfish,redfish,.52992076,.50435603
2014,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.5055327,1.432902
2014,1,15,White Hake,whitehake,1.2994353,1.2367471
2014,1,16,Witch Flounder,witchflounder,2.8024101,2.6672146
2014,1,17,SNEMA Winter Flounder,,2.0088155,1.9119051
2014,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.2472317,1.1900721
2014,2,2,GBE Cod,codGB,1.8123839,1.7293239
2014,2,3,GBW Cod,codGB,1.8362604,1.7521061
2014,2,4,GBE Haddock,haddockGB,1.0287857,.9816373
2014,2,5,GBW Haddock,haddockGB,1.1391397,1.0869339
2014,2,6,GB Winter Flounder,winterflounderGB,1.9070685,1.8196691
2014,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.4908245,1.4225012
2014,2,8,GOM Cod,codGOM,2.0846617,1.9891233
2014,2,9,GOM Haddock,haddockGOM,1.3849261,1.3214561
2014,2,10,GOM Winter Flounder,winterflounderGOM,1.8115457,1.7285241
2014,2,11,Plaice,americanplaiceflounder,1.3961234,1.3321402
2014,2,12,Pollock,pollock,1.3930521,1.3292097
2014,2,13,Redfish,redfish,.54238784,.51753068
2014,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.2443594,1.1873314
2014,2,15,White Hake,whitehake,1.5108039,1.441565
2014,2,16,Witch Flounder,witchflounder,2.4701226,2.3569188
2014,2,17,SNEMA Winter Flounder,,1.8025492,1.7199398
2014,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.1423631,1.0845096
2014,3,2,GBE Cod,codGB,1.9951782,1.894135
2014,3,3,GBW Cod,codGB,1.8973774,1.8012872
2014,3,4,GBE Haddock,haddockGB,1.1340208,1.0765898
2014,3,5,GBW Haddock,haddockGB,1.3952764,1.3246144
2014,3,6,GB Winter Flounder,winterflounderGB,2.3619981,2.2423778
2014,3,7,GB Yellowtail Flounder,yellowtailflounderGB,1.9561838,1.8571154
2014,3,8,GOM Cod,codGOM,1.5100129,1.4335402
2014,3,9,GOM Haddock,haddockGOM,1.6345314,1.5517527
2014,3,10,GOM Winter Flounder,winterflounderGOM,1.9770529,1.8769276
2014,3,11,Plaice,americanplaiceflounder,2.0029662,1.9015285
2014,3,12,Pollock,pollock,1.1261265,1.0690953
2014,3,13,Redfish,redfish,.56285697,.53435183
2014,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.7123845,1.6256629
2014,3,15,White Hake,whitehake,1.4079071,1.3366054
2014,3,16,Witch Flounder,witchflounder,3.0992422,2.9422851
2014,3,17,SNEMA Winter Flounder,,2.2039466,2.0923305
2014,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.6331811,1.550119
2014,4,2,GBE Cod,codGB,1.8042527,1.7124901
2014,4,3,GBW Cod,codGB,1.9131004,1.8158019
2014,4,4,GBE Haddock,haddockGB,1.0351253,.98247975
2014,4,5,GBW Haddock,haddockGB,1.0458902,.99269718
2014,4,6,GB Winter Flounder,winterflounderGB,2.5378084,2.4087379
2014,4,7,GB Yellowtail Flounder,yellowtailflounderGB,1.2907411,1.2250952
2014,4,8,GOM Cod,codGOM,2.0579727,1.9533061
2014,4,9,GOM Haddock,haddockGOM,1.5995249,1.5181745
2014,4,10,GOM Winter Flounder,winterflounderGOM,1.4871069,1.411474
2014,4,11,Plaice,americanplaiceflounder,2.2639556,2.1488128
2014,4,12,Pollock,pollock,1.0961373,1.0403887
2014,4,13,Redfish,redfish,.61649972,.58514512
2014,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,2.0812004,1.9753524
2014,4,15,White Hake,whitehake,1.6903039,1.6043366
2014,4,16,Witch Flounder,witchflounder,2.4547515,2.329905
2014,4,17,SNEMA Winter Flounder,,2.0547192,1.9502181
2015,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.0295519,.9942736
2015,1,2,GBE Cod,codGB,1.8103548,1.7483218
2015,1,3,GBW Cod,codGB,1.7607048,1.7003731
2015,1,4,GBE Haddock,haddockGB,.83800292,.8092882
2015,1,5,GBW Haddock,haddockGB,.92577428,.89405203
2015,1,6,GB Winter Flounder,winterflounderGB,1.7592528,1.6989708
2015,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.5375903,1.4849037
2015,1,8,GOM Cod,codGOM,2.2613695,2.1838822
2015,1,9,GOM Haddock,haddockGOM,1.347345,1.3011774
2015,1,10,GOM Winter Flounder,winterflounderGOM,1.7328041,1.6734284
2015,1,11,Plaice,americanplaiceflounder,1.6075488,1.5524651
2015,1,12,Pollock,pollock,1.5015426,1.4500912
2015,1,13,Redfish,redfish,.58728224,.56715864
2015,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.5461882,1.4932071
2015,1,15,White Hake,whitehake,1.4902238,1.4391602
2015,1,16,Witch Flounder,witchflounder,2.3784084,2.2969108
2015,1,17,SNEMA Winter Flounder,,1.8945862,1.829667
2015,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.4718781,1.4718781
2015,2,2,GBE Cod,codGB,2.075551,2.075551
2015,2,3,GBW Cod,codGB,1.8240309,1.8240309
2015,2,4,GBE Haddock,haddockGB,1.0005876,1.0005876
2015,2,5,GBW Haddock,haddockGB,1.1851951,1.1851951
2015,2,6,GB Winter Flounder,winterflounderGB,2.5103514,2.5103514
2015,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.7560099,1.7560099
2015,2,8,GOM Cod,codGOM,2.1390958,2.1390958
2015,2,9,GOM Haddock,haddockGOM,1.1580452,1.1580452
2015,2,10,GOM Winter Flounder,winterflounderGOM,2.1746626,2.1746626
2015,2,11,Plaice,americanplaiceflounder,1.6177473,1.6177473
2015,2,12,Pollock,pollock,1.1358888,1.1358888
2015,2,13,Redfish,redfish,.5126248,.5126248
2015,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.9935573,1.9935573
2015,2,15,White Hake,whitehake,1.1053158,1.1053158
2015,2,16,Witch Flounder,witchflounder,2.5939662,2.5939662
2015,2,17,SNEMA Winter Flounder,,2.3306835,2.3306835
2015,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.7732462,1.7783973
2015,3,2,GBE Cod,codGB,1.8794652,1.884925
2015,3,3,GBW Cod,codGB,1.8663809,1.8718027
2015,3,4,GBE Haddock,haddockGB,1.1864085,1.189855
2015,3,5,GBW Haddock,haddockGB,1.2361746,1.2397656
2015,3,6,GB Winter Flounder,winterflounderGB,2.8919485,2.9003494
2015,3,7,GB Yellowtail Flounder,yellowtailflounderGB,2.0409186,2.0468473
2015,3,8,GOM Cod,codGOM,2.3643582,2.3712265
2015,3,9,GOM Haddock,haddockGOM,1.220961,1.2245078
2015,3,10,GOM Winter Flounder,winterflounderGOM,2.3809965,2.3879132
2015,3,11,Plaice,americanplaiceflounder,2.1614017,2.1676805
2015,3,12,Pollock,pollock,.7881766,.79046619
2015,3,13,Redfish,redfish,.6093725,.61114269
2015,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,2.0931644,2.0992451
2015,3,15,White Hake,whitehake,1.3462951,1.350206
2015,3,16,Witch Flounder,witchflounder,3.0959337,3.1049273
2015,3,17,SNEMA Winter Flounder,,2.5007958,2.5080605
2015,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.6138661,1.6138661
2015,4,2,GBE Cod,codGB,1.2008086,1.2008086
2015,4,3,GBW Cod,codGB,1.5197932,1.5197932
2015,4,4,GBE Haddock,haddockGB,1.1689986,1.1689986
2015,4,5,GBW Haddock,haddockGB,1.1822509,1.1822509
2015,4,6,GB Winter Flounder,winterflounderGB,1.5909784,1.5909784
2015,4,7,GB Yellowtail Flounder,yellowtailflounderGB,1.6512966,1.6512966
